,Brand,Date,Name,Product ID,Rating,Review,Review Title,Source,Usefulness
0,Hamilton Beach,"January 23, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,2,Product only worked for about a week and then only half of this item worked,I wouldn't recommend,Amazon,0
1,Hamilton Beach,"January 23, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,5,"Haven’t had it long enough to rate its durability, but I love the fact that it replaces 2 coffee makers. Looks nice and uncluttered.",2 coffee makers in 1. 💙,Amazon,0
2,Hamilton Beach,"January 23, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,5,Perfect. My dad makes his pot at 6am for my mom and him and I make my cup before class at 9am. Best of both worlds for my family and very decently priced. Bought the filter so we don’t have to buy paper ones. Reuse and reducing waste!,Buy the reusable filter!!,Amazon,0
3,Hamilton Beach,"January 23, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,5,Me and my bf love this coffee maker,Great,Amazon,0
4,Hamilton Beach,"January 23, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,5,I like that is has 2 water reservoirs. The single cup side takes longer to brew than what I would like. However for on cup of coffee it is great.,It is very versatile,Amazon,0
5,Hamilton Beach,"January 23, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,1,This has been a horrible coffee maker. We stopped using it because the grounds kept getting in our cups. 119.00 down the drain. Total waste of money.,Worst purchase so far.,Amazon,0
6,Hamilton Beach,"January 23, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,3,"The machine would say 'needle' every once in a while so we would remove the needle, clean it out, ran it with only water and it would go back to brewing. This last time the machine said 'needle' we pulled it out cleaned it, ran the machine with nothing in it and it continued to say needle. The machine is less than a year old. Tried to run it a couple of more times and it did not work. I've currently been on hold for 47 minutes before even speaking with a human to put me in the right direction. This is a joke. I will never buy another Hamilton Beach.",customer service,Amazon,0
7,Hamilton Beach,"January 23, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,5,Bought this 3 weeks ago.  Everything works great. The carafe and the single brew. Don't know how the cuisinart could be over 100 dollars better. Read some bad reviews. So far none of them are true. Highly recommend as a real good coffee maker that looks good as performs well. A real money saver,You'll be impressed,Amazon,0
8,Hamilton Beach,"January 23, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,2,"I bought the first one on Jan 2018. The SECOND one just died. The tube running to the heater keeps melting. I've just now lost my second one, after the first was replaced under warranty. I cannot recommend this item, as they are unreliably built with tubing not up for the job of handling hot temps for long periods of time.",Keeps breaking,Amazon,0
9,Hamilton Beach,"January 23, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,2,"Works great for the Carafe, the single is another issue. About every other cup you have to unscrew the attachment and clean the needle, as it gets clogged. Makes a good cup at a time if you don't mind getting a paperclip and cleaning the needle every other cup. I find it frustrating....",Have to clean the needle every other cup,Amazon,0
10,Hamilton Beach,"January 22, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,5,Works great,Great coffee pot,Amazon,0
11,Hamilton Beach,"January 22, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,5,The product is great. Easy to use - intuitive - exactly what I wanted. What gets the extra stars is the amazing customer service by Hamilton Beach when I had problems with it.  Very unexpected but much appreciated.,Impressed by Hamilton’s customer service,Amazon,0
12,Hamilton Beach,"January 22, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,4,Love access of both the carafe and k-cup! Great amount for a pot to serve for more then 2 people! But the drip coffee in k-cup  preparers and drips very slow.,Good but not great,Amazon,0
13,Hamilton Beach,"January 22, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,1,"DO NOT BUY. We had our first Hamilton Beach Flex Brew for 11 months before it started leaking water out of the holding tank. Luckily we were still covered under the limited 1 year warranty and received a replacement machine. Had I done more research I would have learned that the water holding tank (for the carafe side) leaking water is a common issue that Hamilton Beach has not resolved. While the Flex Brew makes a decent cup of coffee, when using the 'Bold' option  it is not worth the investment. Our replacement Flex Brew lasted us a mere 5 months before it too started leaking water out of the holding tank. While we routinely clean out the coffee machine in order to avoid any scaling and build up, this is simply a design flaw and is only a matter of time before your machine will leak water all over you counters.  Learn from our mistake and save yourself the headache and mess and find a better coffee brewer.",DO NOT BUY- Leaks,Amazon,0
14,Hamilton Beach,"January 22, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,5,They have conquered the problem with the dripping down the back and now it is just what I wanted.  It's fast and makes a perfect pot every time.,"It's perfect, full pot or single cup.",Amazon,0
15,Hamilton Beach,"January 22, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,2,"The actual coffee pot works great, however the single cup is not good.  After having it a few months, every time I use a pod it demands that I clean the needle.  Obnoxious!",Single cup brewing is a pain!,Amazon,0
16,Hamilton Beach,"January 22, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,5,I love this coffee maker. I have the use of 2 types of pots in one appliance. Frees up limited counter space. I got the stainless pot because there is no burner to wear out. It will last twice as long as the type with a heater plate. The kcup feature is great too. Both are easy to fill with water. Easy to clean.,coffee any style,Amazon,0
17,Hamilton Beach,"January 22, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,4,so far so good everything is doing what it is supposed to,versatility,Amazon,0
18,Hamilton Beach,"January 22, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,1,DONT BUY.  Works great... until it doesn’t.  After less than six months there was an electrical plastic burning odor and it set off and fried my ground fault protection outlets.  Now I have to call and electrician because the outlets won’t reset.,DON’T BUY!  Stops working after a few months.,Amazon,0
19,Hamilton Beach,"January 21, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,3,I absolutely loved this duo coffee maker.  We had Keurigs before and were used to cleaning them out when they quit filtering the water.  I have tried everything to unplug the water line to the single serving cup.  I just keep getting an error message.  I will try to call Hamilton Beach to try to fix this because I really like it.  I purchased it about six months ago!!!,Loved it Until it Quit Working!,Amazon,0
20,Hamilton Beach,"January 21, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,2,"Bought this pot a few months back. sometimes it  has a plastic taste to the coffee, and now the water leaks all over and can't use it. i hav emailed the manufacture.",water leaks,Amazon,0
21,Hamilton Beach,"January 21, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,5,Only had a few weeks but loving it so far!,Loving this so fat,Amazon,0
22,Hamilton Beach,"January 21, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,5,Perfecto,Bueno,Amazon,0
23,Hamilton Beach,"January 21, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,5,Love it!!,Love it,Amazon,0
24,Hamilton Beach,"January 20, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,4,the versatility,easy to use,Amazon,0
25,Hamilton Beach,"January 20, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,5,Better than the older unit.,Better product,Amazon,0
26,Hamilton Beach,"January 20, 2019","Hamilton Beach (49976) FlexBrew Coffee Maker, Single Serve & Full Coffee Pot, Compatible with Single-Serve Pods or Ground Coffee, Programmable, Black",B06Y2WCHDV,5,I had bought and very expensive high end model of Kurig.  I was not happy with it at all.  One of my clients had this Hamilton Beach.  They highly recommended it.  I love that I can make a pot or if I just want a cup I make a cup.  I think it tastes much better than the Kurig.,Love it.,Amazon,0
