,Brand,Date,Name,Product ID,Rating,Review,Review Title,Source,Usefulness
0,Braun,"January 21, 2019","Braun KF7150BK Brew Sense Drip Coffee Maker, Black",B01EA5ZHIA,5,Brews coffee real fast,User friendly,Amazon,0
1,Braun,"January 21, 2019","Braun KF7150BK Brew Sense Drip Coffee Maker, Black",B01EA5ZHIA,4,"Overall, I am very pleased with my new Braun coffeemaker.  Only one slight problem and that is the difficulty in knowing how much water you are putting into the machine.  It's a bit difficult to see the water line measurements.  That difficulty, however, is far outweighed by the excellent coffee that the machine produces!",Another good Braun product!,Amazon,0
2,Braun,"January 21, 2019","Braun KF7150BK Brew Sense Drip Coffee Maker, Black",B01EA5ZHIA,1,This coffee maker was decent while it lasted but just died with an E01 error code after two years- Not long enough in my opinion,Decent but died after two years,Amazon,0
3,Braun,"January 19, 2019","Braun KF7150BK Brew Sense Drip Coffee Maker, Black",B01EA5ZHIA,5,This is my third Braun coffee pot in 42 years. The quality of Braun is next to none. Best coffee besides McDonalds.,What else is there to say ??,Amazon,0
4,Braun,"January 19, 2019","Braun KF7150BK Brew Sense Drip Coffee Maker, Black",B01EA5ZHIA,5,Great device. Sleek and functional. Recommended! Like great Braun products of the past.,Just right,Amazon,0
5,Braun,"January 18, 2019","Braun KF7150BK Brew Sense Drip Coffee Maker, Black",B01EA5ZHIA,2,"I bought this in December 2016. Two weeks later the lid to the carafe broke. Amazon sent me a whole new unit as a replacement. I took the replacement lid and kept the rest of the unit in the box. The original died this week, after just a little over two years of use, which is not great. I brought out the replacement unit, which was still in the original box and never used. I ran a few pots of water through to clean it out, but the first pot of coffee had a strange bitter taste, like oil. I then ran a 50/50 mixture of water and vinegar through the cycle, followed by four more pots of water. The strange taste was still there. I will not be buying this model again.","Short life, replacement had strange taste",Amazon,0
6,Braun,"January 18, 2019","Braun KF7150BK Brew Sense Drip Coffee Maker, Black",B01EA5ZHIA,5,I loooove this coffee maker. And I’m picky about my coffee! Very stylish and well designed,Love it,Amazon,0
7,Braun,"January 16, 2019","Braun KF7150BK Brew Sense Drip Coffee Maker, Black",B01EA5ZHIA,2,"I have to add an extra cup or two of water to get the desired amount of brewed coffee. I have no idea where the water goes; I fill it to 10 cup line and get about 9 cups of brewed coffee. Plus coffee does not taste as good as it used to. Very disappointed, as I used to love Braun coffeemakers.",not as good as Braun used to be.,Amazon,0
8,Braun,"January 16, 2019","Braun KF7150BK Brew Sense Drip Coffee Maker, Black",B01EA5ZHIA,5,"Much better than expected. Not as fast as BUNN, but think i might like it better...time qill tell",Great purchase,Amazon,0
9,Braun,"January 15, 2019","Braun KF7150BK Brew Sense Drip Coffee Maker, Black",B01EA5ZHIA,4,"I love this coffee maker. Really makes a great cup of coffee. I don't use all the frills. I just needed one that fit where I needed it and made good coffee. Been a while wince I had a Braun, well worth it! There is only 1 con for me it, it is not easy to pour the water into the machine. You REALLY have to be careful or it will spill into where you put the coffee.",Great coffee!,Amazon,0
10,Braun,"January 13, 2019","Braun KF7150BK Brew Sense Drip Coffee Maker, Black",B01EA5ZHIA,5,"My son loves it, makes excellent coffee.",Would buy it again.,Amazon,0
11,Braun,"January 13, 2019","Braun KF7150BK Brew Sense Drip Coffee Maker, Black",B01EA5ZHIA,3,"Easy to use, but coffee is nowhere near as hot as it should be.  I selected hot and regular brew.  The taste is fine, but the temperature is not.  I end up putting the coffee in the microwave to get it hot enough.",Nice coffeemaker,Amazon,0
12,Braun,"January 11, 2019","Braun KF7150BK Brew Sense Drip Coffee Maker, Black",B01EA5ZHIA,4,"I have a small kitchen counter space. This one somehow takes up less room than my smaller crappy maker.  Due to its rectangular shape,  it fits on my crowded counter well. Overall it is well made and feels sturdy.",Great coffee maker,Amazon,0
