,reviews_raw,language,reviews
0,Good people good benefits grest,e,Good people good benefits grest
1,"Experience, knowledge, integrity and quality",e,"Experience, knowledge, integrity and quality"
2,"Salary, opportunities to grow, knowledgement aquired.",e,"Salary, opportunities to grow, knowledgement aquired."
3,"The company provides car, gas, money to eat...",e,"The company provides car, gas, money to eat..."
4,"Ambiente agradável, pessoas legais, ambiente familiar, ótimos Benefícios, qualidade de vida, maioria dos coordenadores são bons, escritório em ótima localização.",p,"Nice atmosphere, nice people, family atmosphere, great benefits, quality of life, most of the coordinators are good, office in a great location."
5,Local de trabalho muito bom. Pessoas profissionais que ajudam umas as outras. Banco de horas com horas extras. Investimento no funcionário para cursos.,p,Very good work place. Professional people who help each other. Bank hours with overtime. Employee investment for courses.
6,"A empresa oferece Plano de saúde, odontológico, ticket alimentação. Gosto de trabalhar pois é uma constante aprendizagem, recebemos vários treinamentos, que contribuem para o aprimoramento e crecimento pessoal e profissional.",p,"The company offers health plan, dental, food ticket. I like to work because it is a constant learning, we receive several trainings, which contribute to the improvement and personal and professional growth."
7,"multinacional com forte programa de treinamento, salários sempre em dia, muitas oportunidades de crescimento, benefícios bons e grande status social.",p,"multinational with strong training program, always up-to-date salaries, many growth opportunities, good benefits and great social status."
8,"Reconhecimento e muita oportunidades para crescer junto com a empresa, oferecendo uma boa aparecencia para o mercado a fora alem de muitoa treinamentos",p,"Recognition and lots of opportunities to grow together with the company, offering a good appearance for the market outside besides many training sessions"
9,"Estimula o desenvolvimento, um lugar agradável de se trabalhar, onde as pessoas se sentem motivadas a melhorar, proporciona ótimos benefícios.",p,"Stimulates development, a pleasant place to work, where people feel motivated to improve, provides great benefits."
10,"Remuneração, Possibilidade de crescimento, aprendizado e construção. .",p,"Remuneration, Possibility of growth, learning and construction. ."
11,great career - learning opportunity. Nice team members. Good office environment and atmosphere.,e,great career - learning opportunity. Nice team members. Good office environment and atmosphere.
12,"Es una empresa multinacional con muy buena comunicación interna, y en constante crecimiento. Los empleados pueden desarrollar una carrera profesional",p,"It is a multinational company with very good internal communication, and in constant growth. Employees can develop a professional career"
13,"Excelente empresa, tem um ótimo pacote de beneficios, tais como carro plano de saúde, ticket em média de 26,00 por dia , kit de produtos mensal",p,"Excellent company, has a great package of benefits, such as car health plan, ticket averaging 26.00 per day, monthly product kit"
14,"Remuneração, Refeitório, Não trabalha todo sábado, Seguro Saúde e odontológico, Bônus em média de um salário e meio anual, clima organização positivo",p,"Remuneration, Canteen, Does not work every Saturday, Health and dental insurance, Bonuses on average of one year salary and average, positive organization climate"
15,"os benefícios são bons , tem van para o transporte, todas ferramentas possíveis para trabalho, oportunidade de aprender a parte burocrática .",p,"the benefits are good, have van for transportation, all possible tools for work, opportunity to learn the bureaucratic part."
16,"A empresa proporciona boas oportunidades de aprendizagem e crescimento, possibilidade de trabalho em ambiente multicultural, dinâmico e desafiador. Existe um sentimento de sono muito forte por parte dos colaboradores dentro da empresa.",p,"The company provides good opportunities for learning and growth, the possibility of working in a multicultural environment, dynamic and challenging. There is a very strong feeling of sleep on the part of the employees inside the company."
17,"Excelente empresa pra desenvolvimento e crescimento com dia a dia muito dinâmico. Acrescenta muito ao currículo. Empresa com muitas oportunidades de mudança de área, salário e benefícios em dia interessantes. Possibilidade de crescimento real. Ambiente muito bom para trabalhar.",p,"Excellent company for development and growth with very dynamic day to day. It adds a lot to the curriculum. Company with many opportunities of area change, salary and benefits in day interesting. Possibility of real growth. Very good environment to work with."
18,"Bom ambiente de trabalho, colegas atenciosos e sempre procuram te ensinar a fazer o seu serviço de forma precisa e com o menor esforço necessário",p,"Good work environment, attentive colleagues and always seek to teach you how to do your service accurately and with the least effort required"
19,"Salário seguro sem atraso, não precisa se preocupar xom atraso, as vezes pode fazer hora extras, por ser uma empresa de grande porte trabalhamos com a segurança q vai ser tudo pago em caso de acidentes entre outros .",p,"Safe salary without delay, no need to worry about delay, sometimes can do overtime, for being a large company we work with the security q will be all paid in case of accidents among others."
20,"Plano de saúde, vale alimentação, restaurante na empresa. Ótimos benefícios, empresa conta com plano de saúde que só desconta se usar, restaurante próprio para alimentação.",p,"Health plan, food voucher, restaurant in the company. Great benefits, company has health plan that only discounts if you use, own restaurant for food."
21,"Plano de carreira, benefícios, não atrasar salário,Unimed,vale alimentação,vale transporte,plano odontológico, auxiliar faculdade, clube,área de lazer para os colaboradores.",p,"Career plan, benefits, do not delay salary, Unimed, food voucher, transportation voucher, dental plan, college assist, club, leisure area for employees."
22,As pessoas estão sempre de bom humor e conseguem fazer o clima focar leve mesma com a pressão. Outro ponto positivo é possibilidade de entender o negócio fazendo.,p,People are always in a good mood and are able to make the climate focus even slightly with the pressure. Another plus point is possibility of understanding the doing business.
23,oferece muitas oportunidade para o crescimento de profisao dentro da empresa.,p,offers many opportunities for professional growth within the company.
24,"Oportunidades de desenvolvimento de qualificação profissional, muitos funcionários qualificados e benefícios que garantem um diferencial em relação a outras empresas.",p,"Opportunities for developing professional qualifications, many qualified employees and benefits that ensure a differential compared to other companies."
25,Empresa muito boa e oferece aprendizado e liberdade. horários flexíveis gerentes e pesquisadores muito competentes e referência no segmento alimentício.,p,Very good company and offers learning and freedom. flexible schedules managers and very competent researchers and reference in the food segment.
26,"É uma empresa multinacional com o crescimento constante apesar de uma crise dessas em nosso pais, gosto de trabalhar aqui, mas o que nos desanima é a remuneração que vc leva muito tempo para receber de acordo com sua função.",p,"It is a multinational company with constant growth despite a crisis like this in our country, I like to work here, but what discourages us is the remuneration that you take a long time to receive according to your function."
27,"organização, eficiência, local de trabalho tranquilo e bem organizado, sistemas todos muito eficientes, profissionais altamente qualificados",p,"organization, efficiency, quiet and well-organized work place, all very efficient systems, highly qualified professionals"
28,"Uma boa empresa para se trabalhar, quando se reconhecem os esforço das pessoas.",p,A good company to work for when you recognize people\'s efforts.
29,"A experiência, o fato de ter passado pela BRF que é a maior empresa no segmento alimentício, acaba enriquecendo o currículo p/ novas oportunidades.",p,"The experience, the fact of having passed BRF which is the largest company in the food segment, ends up enriching the curriculum for new opportunities."
30,"Diversidade cultural, oportunidade de aprendizado e crescimento lateral, autonomia para criação. Benefícios tais como Gympass. Mercado BRF, funcionários da Sadia e Perdigão com alta bagagem de conhecimento para compartilhar, apaixonados pelo o que fazem.",p,"Cultural diversity, opportunity for learning and lateral growth, autonomy for creation. Benefits such as Gympass. BRF market, employees of Sadia and Perdig\303\243o with high baggage of knowledge to share, passionate about what they do."
31,"plano de saude e cesta basica, academia gratuita para todos colaboradores, projetos de vonluntarios para ajudar o meio ambiente e pessoas que passam por necessidade",p,"health plan and basic basket, free gym for all employees, volunteer projects to help the environment and people who need"
32,"Empresa líder de mercado, com muitas oportunidades de crescimento e com estilo de gestão atual. Gosto muito de trabalhar nessa companhia....",p,Leading market company with many growth opportunities and current management style. I really like working in this company ....
33,"Empresa de uma das maiores da América Latina, abatedouro de porte médio com toda sua infraestrutura voltada para o bem estar animal, abstendo quase +- 90000 aves por dia.",p,"Company of one of the largest in Latin America, slaughterhouse of medium size with all its infrastructure focused on animal welfare, abstaining almost + - 90000 birds per day."
34,"Adorei muito o tempo que fiquei lá! horário bom.cesta, ticket plano de saúde! Dá para conciliar casa e família tranquilo! Uma pena que estava no meio do corte",p,"I really loved the time I was there! Good time, thank you, health insurance ticket! It gives to conciliate calm house and family! A pity I was in the middle of the cut"
35,As pessoas sao espetaculares. Ambiente livre onde todos poderiam contribuir com ideias e levá-las adiante. Acredito ser uma ótima escola em uma grande empresa.,p,The people are spectacular. Free environment where everyone could contribute ideas and carry them forward. I believe being a great school in a big company.
36,"Otima empresa, vê o funcionário como parte de um conglomerado para dar um suporte de crescimento da empresa, alto índice de pessoas satisfeitas",p,"Great company, sees the employee as part of a conglomerate to give a support to the company\'s growth, high rate of satisfied people"
