,Brand,Date,Name,Product ID,Rating,Review,Review Title,Source,Usefulness
0,Mr. Coffee,"December 28, 2016","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,5,I purchased a week before Christmas 2016 and arrived on time. On Sale & works great. My friend loved it & is very pleased with her gift. I would by one for anyone needing a replacement or bigger pot. It's a 12 cup and pretty huge in my opinion but I'm used to a little 5 cup pot. A must have don't hesitate because of the cheap price you will not be disappointed. I read reviews & value others opinions so I hope this helps.,Mr. Coffee is my friend,Walmart,65
1,Mr. Coffee,"October 3, 2016","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,5,"After my 2nd $100 plus coffee maker in 2 years just died I bought this till I could do some on line research before I bought another. Well this thing is as good as any coffee maker I 've ever had. Not bitter, keeps good and hot. Think I'll buy a 1/2 dozen in case they stop making this model and my coffee pot problems are solved for the rest of my life.",Why can't it be cheap and good?,Walmart,154
2,Mr. Coffee,"February 3, 2014","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,5,"This makes the perfect cup of coffee, I tried others and they just don't work as well as this one. keep it clean. Don't leave it on all day. Let the pot cool before washing and should last a long time. Its better to make two half pots than one full pot, your coffee will taste better.","very good, basic,at a reasonable price",Walmart,51
3,Mr. Coffee,"March 6, 2013","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,2,This coffee maker lasted three months of me using it. One morning I started brewing coffee and I heard a crack from my kitchen. The bottom of this coffee pot cracked. After only a few months I was disappointed to see this product break.,Coffee Maker Cracked,Walmart,36
4,Mr. Coffee,"November 11, 2017","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,5,Very cute. Perfect to make fresh coffee everyday up to 3 cups at ones. Very easy to use. Fast to make the coffees exactly what I was looking. My coffee every morning for me and me husband without wasting,Perfect,Walmart,15
5,Mr. Coffee,"November 4, 2013","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,2,We had an old Mr.Coffee with NO bells and whistles...it made the best coffee for at least 12 years before it quit working and we needed a new one . I buy organic beans and grind them fresh and I pour off the first 4 cups of coffee for the richest and most delicious coffee . So when choosing a new coffee pot I looked for the same no frills Mr. Coffee . This new one makes hot brown water !! The water runs through the grounds so fast that it cannot pick up the good coffee flavor ....I was so disappointed . I experimented with it for a week ...packing the grounds etc. ...but still only hot brown water . I realize now that good coffee is all about how the water drips through the grounds .... wish it was easy to find a good coffee maker. I am still looking .,Hot brown water,Walmart,23
6,Mr. Coffee,"February 2, 2017","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,5,"Still the best coffee maker around for the price.  I have purchased many, many coffee makers over the years and the Mr. Coffee generally lasts the longest.  I recommend if you want the most longevity, get a plain coffee maker without any of the fancy electronics to go out, no clock to reset every time the poser goes out, etc.  This one is very simple, just an on off switch, which I prefer. (I hate having to keep re-starting the coffee pot, or forgetting to and finding the entire carafe cold because I forgot to reset the auto-off again. Mr. Coffee also has a large wide-open water reservoir to fill easily on a sleepy morning without pouring water all over! All coffee makers have a badly manufactured  brewer from time to time, but you are generally safer going with the Mr. Coffee if you want something inexpensive, yet still reasonable good quality.",Best coffee maker around for the price,Walmart,20
7,Mr. Coffee,"December 31, 2016","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,5,"Easy to setup and use. Simple to use, my retired parents have no use for a programmed coffee maker - so why pay the extra money. They love this coffee maker - it's fast, relatively quiet - compared to other expensive coffee makers, and makes great tasting hot coffee. Good price also.",simple and tasty,Walmart,14
8,Mr. Coffee,"July 19, 2014","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,5,"I used to use Braun, but they stopped making 110v coffee makers (only make 220v now). So I switched to Mr Coffee, I bought one with a clock / brew timer, and one with just an On/Off switch. Both previous Mr Coffee had the same four issues: 1. Carafe would drip/spill when you poured the first few cups of coffee (i.e. when it was full). 2. Pause 'N Serve would drip a few drops of coffee onto the hot plate whenever it was used. 3. Water would always be under the filter basket when you lifted it out to refill it for the next cycle. 4. Braun lasted five years, each Mr Coffee lasted under two years. I make a lot of coffee (two pots per day). A thermal fuse blew on the first unit. The second unit clogged, but I should have cleaned it with vinegar more often. This model is slightly different in appearance (i.e. on my other models, the grey in the front went all the way to the bottom of the Coffee Maker). I was surprised (and pleased) to find the first three issues have been fixed. Time will tell if longevity has been improved.",They fixed some problems,Walmart,13
9,Mr. Coffee,"August 16, 2009","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,5,"Wow doesnt take long to make 6 or more cups of coffee . My old pot was taking so long, this is done in no time.Great item at a decent price.Only wish i had gotten white as its hard for me to see where to clean this although that might not be a bad thing",Mr. Coffee,Walmart,12
10,Mr. Coffee,"April 1, 2014","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,1,As soon as I tried to lift the lid to wash the coffee pot the hinge snapped. Im sure it was a one time flaw but I took it back to the closest Walmart and returned it and it was on sale $13 _ $6 cheaper than when I bought it. Got a black and Decker coffee pot with clock and auto brew for same price,broke right out the box,Walmart,7
11,Mr. Coffee,"May 27, 2014","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,4,"I purchased this coffeemaker for my daughter after her old coffeemaker stopped working. She uses it to brew coffee and hot water for tea/instant cereal. She told me that the coffeemaker does everything it is meant to do, including pause while brewing; however, it is not programmable nor does it doesn't shut off automatically. It is a great purchase for the price.",A Good Basic Coffeemaker,Walmart,4
12,Mr. Coffee,"January 2, 2017","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,4,"Using just a few days now, a Christmas gift to ourselves.  The pot pours well, has side water gauges which I like, basket in and out is smooth operation and most important is that the temp of the coffee is adequate for me, 170 degrees.   Higher temp, coffee in pot to 180 would be from a machine many times more, over as hundred dollars, not 14 dollars.  How can you go wrong on a low cost investment like this, just a nice pizza can cost much more than 14 dollars !!",Working as expected so far.,Walmart,3
13,Mr. Coffee,"February 24, 2014","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,4,"My husband wanted to be able to make coffee when he wanted it, no timer no extras. This does that and he is happy with it. His mother wanted the same thing so she bought one and she is happy with her coffee maker also. I like the black color because you don't see every little drip on it!",Just Right,Walmart,3
14,Mr. Coffee,"May 20, 2018","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,5,"Our previous coffeemaker had many features including a timer, choice of strength and sounds when it was finished. But it was almost always only used in its most basic mode, so this time we got the most basic Mr. Coffee. The coffee it makes tastes as great as its fancier, more expensive predecessor.",Perfect Minimalist Coffeemaker,Walmart,1
15,Mr. Coffee,"August 22, 2016","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,5,"We always buy this coffee pot.  We live on a farm and our well water tends to plug the pots up after about a 8-9 month use.  This pot works well, is inexpensive and does not cut off after two hours which works best for us.",Does not automatically shut off.  Yeah!,Walmart,14
16,Mr. Coffee,"August 15, 2014","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,5,This is an excellent coffee pot. I have a white one and a black one. I make coffee in one and tea in the other. It makes the best coffee and tea. I would recommend them to anyone.,Good till the last drop,Walmart,3
17,Mr. Coffee,"November 10, 2016","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,5,"Mr. Coffee , $14.99, is replacing a $100.00 Kitchen Ade machine. From its very first brewed pot, it has five star performance. My previous coffee maker was barely 9 months old. If my Mr. Coffee machine only lasts 6 months, I will be insufferably pleased with myself first at least one year. LoL.  I do recall my grandmother's Mr. Coffee machine lasting an entire decade. Mr. Coffee has 2 moving parts.  That means minimal future breakdown issues.  G. R. Johnson  LLAP",FIVE Star Coffee Maker,Walmart,2
18,Mr. Coffee,"May 24, 2014","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,3,This coffeemaker is bottom line basic. It works fine but if you want one with auto shut-off or other features then this probably isn't for you. We have always had a pot that turned off after an hour or two but this one does have to be turned off manually.,Very Basic ...,Walmart,2
19,Mr. Coffee,"January 24, 2014","Mr. Coffee 12-Cup Switch Coffee Maker, Black (CG13)",9604635,4,"We purchased this as a replacement. When it first arrived, it would not work. Upon opening the box, it looked like it had been used and returned. We filled it up with water, loaded the coffee and nothing happened. We had to take it back to our local Walmart and exchange it for the same coffee maker. We returned home, set it up and it works great. We use it every morning and have had no problems with it.",Great Coffee Maker!,Walmart,2
20,Hamilton Beach,"March 5, 2016",Hamilton Beach 12 Cup Programmable Coffee Maker | Model# 49465R,21646036,5,"This is a wonderful coffee maker! It's the easiest to set the time, and to program the time you want it to start brewing. The little green light will let you know when the auto-program is on. All you need to do is add the right amount of water, a filter, and your favorite coffee.  This unit uses #4 cone filters. Some might see this as a drawback. I see it as a plus. I've tried coffeemakers that use basket filters(which cost less than cone). Sometimes, the sides of the basket filter would tip over during brewing. This usually resulted in the grounds and water overflowing onto the coffee pot and the hot-plate. I don't have this happen with cone filters. I like the auto-pause feature. This allows you to pour a cup of coffee before the brewing cycle is finished. This pot will automatically shut off in two hours, which is another feature I really like. If you are not going to use all the coffee you brew within 30 minutes or so, it's best to pour the finished coffee into a thermal pot. I also recommend you let the pot cool before washing, and wash it using a sponge or cloth-nothing that could score the insides and cause it to crack later.",Have Your Coffee Waiting for You,Walmart,166
21,Hamilton Beach,"February 28, 2016",Hamilton Beach 12 Cup Programmable Coffee Maker | Model# 49465R,21646036,5,This Hamilton Beach programmable coffee pot has all the same features as coffee makers 2 or 3 times the price. The buttons are easy to head and to be able to set the coffee pot to be ready for you when you waken is a huge plus. The reservoir is very accessible with one finger so you can be holding the pot of water in the other hand. There is a swing arm you slide to the side to place the coffee in the basket. My only comment is this machine does not come with a sample package of #4 filter papers so you will have to go buy some of them before you can use it. It would be very helpful if a few were enclosed in the box for the consumer. I happen to have a bunch of them on hand so I was able to use it right away. It makes a very good up of coffee no matter what kind of coffee you use. The carafe is made of glass so you have to be careful not to bump it but it does keep the coffee hot for a long time and it doesn't taste burnt as it sometimes does in a metal carafe. I highly recommend this Hamilton Beach coffee put maker to all coffee drinkers,Very sleek looking coffee maker,Walmart,98
22,Hamilton Beach,"March 9, 2016",Hamilton Beach 12 Cup Programmable Coffee Maker | Model# 49465R,21646036,5,"We really like the way the coffee comes out of our Hamilton Beach 12 cup programmable coffee maker. We had to adjust the amount of coffee grounds that we added. Both the package of the coffee and the pot directions said to put in quite a lot but we adjusted that to our taste and it is perfect. We bought the Community Coffee-medium roast Breakfast Blend at Walmart and found it to be delicious. The directions are very easy to understand. We programmed the machine to turn on at a certain time in the morning so that the coffee is ready when we are. We only make a small amount of coffee each day since there is just 2 of us, but it does a wonderful job of that. I fill it to the 4 cup mark and it makes 2 nice sized mugs. I bought the cone shaped coffee filters that they recommended. The only improvement that I can see for this coffee maker is getting the water for the coffee to come out a little hotter as we need to put our mug in the microwave for a few seconds , probably due to the amount of creamer that we put in. If you unplug the machine at some time you do need to reset the time and the timer again.",Great coffee maker,Walmart,49
23,Hamilton Beach,"March 12, 2016",Hamilton Beach 12 Cup Programmable Coffee Maker | Model# 49465R,21646036,5,"I received this product from the Spark reviewer program. Our other coffee maker would gain hours of time during the week and would require adjustment several times during the week. This coffee maker requires #4 cone filters, which were available at our local store. This is a tall and slender style coffee maker. The carafe has a large handle that my hand fit into easily when pouring coffee. The water reservoir has clearly marked lines that are easy visible. The clock and controls are on the base of the maker, the clock is angled slightly making it easy to read, I would like a backlight on it. The clock has keep accurate time for the last two weeks. Programming is very easy and straight forward. Five buttons and two indicators on the face plate. The coffee was not bitter, just smooth tasting for any of the roasts that we tried. The only complaint that we have on the coffee maker is that the carafe can be a little hard to get in and out of the maker. This may change over time with age and use. It's not a deal breaker for us, but could be aggravating to someone else. I can now enjoy coffee in the morning without having to get up earlier and make it. Overall a good coffee maker without a lot of bells and whistles.","No frills, just coffee",Walmart,38
24,Hamilton Beach,"March 2, 2016",Hamilton Beach 12 Cup Programmable Coffee Maker | Model# 49465R,21646036,4,"As of March 2, 2016 I received a black Hamilton Beach 12-cup coffeemaker. To my surprise the shipment was quite expeditious, kudos to the shipping department. It comes equipped with a bilingual manual. It does have a ""burn"" warning as a potential household threat, therefore I recommend reading the fine print before operating this product. The unit does not have a permanent filter like my previous coffeemaker, so you will need to purchase cone shaped filters, depending on the model, prior to purchase. Unfortunately I couldn't use it immediately out of the box for this very reason. It is programmable and consumers can pause the brewing process to pour a cup of coffee before it is completely brewed. It has a transparent water reservoir to make it easier to manage the water as you fill it. Above the filter basket is a lever used to secure the filter and filter basket in place, you slide it from the right to release it and to the left to secure it. This particular model is quaint, adorable, and it doesn't take up too much space, which is perfect for small apartments. So far, the only primary disadvantage is the lack of a permanent filter, other than that this product meets my expectation",Good product,Walmart,38
25,Hamilton Beach,"February 28, 2016",Hamilton Beach 12 Cup Programmable Coffee Maker | Model# 49465R,21646036,5,"I am a coffee pot enthusiast; I must have 3 or 4 coffee pots in my house at the present time. My thing with coffee pots, I am very critical; and the reason is I have had coffee pots that leak; steam up the clock, the timer resets itself, etc.  So we have the Hamilton Beach – I love Hamilton Beach and have had their coffee pots in the past. Currently I am using a Mr. Coffee, which I like.  The pluses:  • it makes 12 cups of coffee, • it has a wide area to pour in water, • the coffee pot and maker are compact,  • it is very easy to set the clock and program the timer, • it shuts off after 2 hours,  • and keeps the coffee hot, • it has the number of cups on both sides of the pot,  • the coffee filter fits tight in the maker,  • It is also smart looking.  The cons:  • when opening the top to add the water you will notice the top seems very loose like it could come off in a moment's notice, • The clock doesn't light up. Yes I would recommend this coffee maker, it works great, I have used it three times already, and I literally cannot find anything that would dissuade me at this point and time. Definitely would recommend this coffee maker to anyone.",Small and Compact,Walmart,34
26,Hamilton Beach,"March 23, 2016",Hamilton Beach 12 Cup Programmable Coffee Maker | Model# 49465R,21646036,4,"This Hamilton Beach coffee maker is a nice addition in the kitchen. I read a few reviews on this coffee maker and it seems that with the control panel on the bottom was a problem for some people. I think they are saying it might stop working if coffee gets in there? Ok I own a coffee maker with the control panel on top and if you think about it, the steam goes upwards into the control panel every time it is used, not to mention the over flow, so therefore the control panel on top, coffee makers will always have moisture in it. I have used the Hamilton coffee maker everyday for the last 2 weeks and not once has the control panel gotten wet. The Hamilton coffee maker has only 5 buttons, 1 hour, 1 minute these set the time of day and time in which to start the maker, 1 program button 1 on/off button and 1 auto. The instructions are very, very easy to understand and very complete. (may I note: the other coffee maker I have has 8 buttons and zero instructions, nearly impossible to use without making a complete mess). The Hamilton Beach Programmable coffee maker uses a 4"" cone filter which is not available in all stores, which is my reason for 4 stars. I have found them only in the bigger grocery stores.",Easy to use,Walmart,30
